ds,yhat,yhat_lower,yhat_upper
2010-12-01,24011.65248022596,5557.313117531908,41633.045016323245
2010-12-02,31277.908815296825,12949.52632434212,49654.218754322486
2010-12-03,23281.178685160332,4622.156659684923,40772.145229908434
2010-12-05,9717.789140955532,-9380.354171576806,26809.146558447777
2010-12-06,22758.805253800492,5953.608386845697,41131.38537846922
2010-12-07,26724.70640447238,7988.515650191509,43175.28966938166
2010-12-08,23996.790370368835,6770.521514875016,42617.14968022407
2010-12-09,31263.046705522807,13041.996080786683,47870.96921053174
2010-12-10,23266.316575372733,5791.496184942101,41613.9656657123
2010-12-12,9702.927031153626,-7079.602806697702,29215.09189998443
2010-12-13,22743.94314399111,4323.345995095213,38636.56963637546
2010-12-14,26709.844296017927,9369.86542973804,45527.21789663984
2010-12-15,23981.92826336869,6703.731712594535,42640.457597979315
2010-12-16,31248.184599868087,12973.55649882404,49168.52990569592
2010-12-17,23251.45447109647,3819.240557695261,41148.762990628704
2010-12-19,9688.064929640319,-7520.9111214467375,27466.73246057985
2010-12-20,22729.08104381222,4896.15292521415,41381.21997193055
2010-12-21,26694.982195909077,9180.723976982403,44846.65793541066
2010-12-22,23967.066163178642,5914.769790744122,40487.1233375638
2010-12-23,31233.32249965739,12773.623579706147,48383.06530463272
2011-01-04,26665.25798796083,9408.318411569402,44194.8274156712
2011-01-05,23937.34195472258,6283.264719123671,40802.62690013094
2011-01-06,31203.598290506932,14309.021766025788,49340.27967734444
2011-01-07,23206.86816107869,5302.286140135552,41096.0993152762
2011-01-09,9643.4786183573,-7930.15231764686,28669.000703028658
2011-01-10,22684.4947319093,4606.7932573142325,40808.6021244629
2011-01-11,26650.395883390633,8766.626357524612,43530.26565876433
2011-01-12,23922.47985006424,6263.217315356655,42991.58115019316
2011-01-13,31188.736185931702,12778.54950306173,49317.230960030254
2011-01-14,23192.006056501366,6771.609931991942,41082.87463038787
2011-01-16,9628.61652811934,-8285.295556253519,28454.017978781016
2011-01-17,22669.632648935716,5055.618651817664,42050.17377877825
2011-01-18,26635.53380757785,8861.413413053468,45389.796141553146
2011-01-19,23907.617781472087,6789.2724423938835,42325.153743722134
2011-01-20,31173.874124444243,13608.28583790785,49050.86603605733
2011-01-21,23177.144002238045,5562.442270441707,40450.8674845067
2011-01-23,9613.75447389172,-8424.275844054218,27370.160461546584
2011-01-24,22654.770594581645,4935.902623794589,39728.578136211414
2011-01-25,26620.671753264465,9373.802031686502,44966.23710007387
2011-01-26,23892.75572719463,6908.057219547618,41911.18417315334
2011-01-27,31159.013648289656,12798.324426774565,48933.38796581501
2011-01-28,23162.285104266477,5055.716919949399,40135.81220390385
2011-01-30,9598.898732159714,-8718.702069891122,27513.452992361872
2011-01-31,22639.916431047528,4087.357849877295,40025.18209436788
2011-02-01,26605.81916783819,8860.400390985022,43605.640326600296
2011-02-02,23877.90471987202,4888.438121524973,41581.886276202495
2011-02-03,31144.162641070146,12887.145258581195,48395.34936453856
2011-02-04,23147.434096931614,5321.4669148441735,40817.59854503869
2011-02-06,9584.047724855163,-8984.362330798718,27517.79155661961
2011-02-07,22625.065423736083,4678.891993700541,40625.97527336587
2011-02-08,26590.968294353122,10347.017306446473,44435.18926606492
2011-02-09,23863.05398027613,5792.800170843202,43031.71291639299
2011-02-10,31129.312035358216,13676.835876789333,50896.351893991305
